age,medv
27.9,28.5
27.7,37.3
23.4,27.9
18.4,23.9
42.3,21.7
31.1,28.6
51,27.1
58,20.3
20.1,22.5
10,29
47.4,24.8
40.4,22
18.4,26.4
17.7,33.1
41.1,36.1
58.1,28.4
71.9,33.4
70.3,28.2
82.5,22.8
76.7,20.3
37.8,16.1
52.8,22.1
90.4,19.4
82.8,21.6
87.3,23.8
77.7,16.2
83.2,17.8
71.7,19.8
67.2,23.1
58.8,21
52.3,23.8
54.3,23.1
49.9,20.4
74.3,18.5
40.1,25
14.7,24.6
28.9,23
43.7,22.2
25.8,19.3
17.2,22.6
32.2,19.8
28.4,17.1
23.3,19.4
38.1,22.2
38.5,20.7
34.5,21.1
46.3,19.5
59.6,18.5
37.3,20.6
45.4,19
58.5,18.7
49.3,32.7
59.7,16.5
56.4,23.9
28.1,31.2
48.5,17.5
52.3,17.2
27.7,23.1
29.7,24.5
34.5,26.6
44.4,22.9
35.9,24.1
18.5,18.6
36.1,30.1
21.9,18.2
19.5,20.6
97.4,17.8
91,21.7
83.4,22.7
81.3,22.6
88,25
91.1,19.9
96.2,20.8
89,16.8
82.9,21.9
87.9,27.5
91.4,21.9
100,23.1
100,50
96.8,50
97.5,50
100,50
89.6,50
100,13.8
100,13.8
97.9,15
93.3,13.9
98.8,13.3
96.2,13.1
100,10.2
91.9,10.4
99.1,10.9
100,11.3
100,12.3
91.2,8.8
98.1,7.2
100,10.5
89.5,7.4
100,10.2
98.9,11.5
97,15.1
82.5,23.2
97,9.7
92.6,13.8
94.7,12.7
98.8,13.1
96,12.5
98.9,8.5
100,5
77.8,6.3
100,5.6
100,7.2
100,12.1
96,8.3
85.4,8.5
100,5
100,11.9
100,27.9
97.9,17.2
100,27.5
100,15
100,17.2
100,17.9
100,16.3
100,7
100,7.2
90.8,7.5
89.1,10.4
100,8.8
76.5,8.4
100,16.7
95.3,14.2
87.6,20.8
85.1,13.4
70.6,11.7
95.4,8.3
59.7,10.2
78.7,10.9
78.1,11
95.6,9.5
86.1,14.5
94.3,14.1
74.8,16.1
87.9,14.3
95,11.7
94.6,13.4
93.3,9.6
100,8.7
87.9,8.4
93.9,12.8
92.4,10.5
97.2,17.1
100,18.4
100,15.4
96.6,10.8
94.8,11.8
96.4,14.9
96.6,12.6
98.7,14.1
98.3,13
92.6,13.4
98.2,15.2
91.8,16.1
99.3,17.8
94.1,14.9
86.5,14.1
87.9,12.7
80.3,13.5
83.7,14.9
84.4,20
90,16.4
88.4,17.7
83,19.5
89.9,20.2
65.4,21.4
48.2,19.9
84.7,19
94.5,19.1
71,19.1
56.7,20.1
84,19.9
90.7,19.6
75,23.2
67.6,29.8
95.4,13.8
97.4,13.3
93.6,16.7
97.3,12
96.7,14.6
88,21.4
64.7,23
74.9,23.7
77,25
40.3,21.8
41.9,20.6
51.9,21.2
79.8,19.1
53.2,20.6
92.7,15.2
98.3,7
98,8.1
98.8,13.6
83.5,20.1
54,21.8
42.6,24.5
28.8,23.1
72.9,19.7
70.6,18.3
65.3,21.2
73.5,17.5
79.7,16.8
69.1,22.4
76.7,20.6
91,23.9
89.3,22
80.8,11.9
